Country,Recognition of Animal Sentience,Recognition of Animal Suffering,Any Laws Against Animal Cruelty,Support for the Universal Declaration of Animal Welfare,Fur-Farming Ban,Meat Consumption per Capita in Kilograms,Percentage of Protected Areas,Kgs of Pesticide / Hectare of Cropland,Environmental Performance Index Score,Total Score
Luxembourg,1,1,1,2,1,80.07,40.87,2.8,82.3,519.68
United Kingdom,1,1,1,2,1,79.89,28.68,3.2,81.3,506.36
Austria,1,1,1,2,1,87.22,28.4,3.3,79.6,501.73
Czechia,1,1,1,2,1,82.78,22.16,1.7,71,498.66
Belgium,1,1,1,2,1,65.77,23.29,6.7,73.3,488.86
Croatia,1,1,1,0,1,75.29,38.25,1.8,63.1,486.36
Sweden,1,1,1,1,2,77.06,14.88,0.6,78.7,478.1
Netherlands,1,1,1,2,1,75.81,11.24,7.9,75.3,470.32
Bulgaria,1,1,1,2,2,58.31,34.7,0.9,57,464.66
Switzerland,1,1,1,1,2,67.53,9.67,4.7,81.5,463.18
Greece,1,1,1,2,2,71.69,35.22,2.9,69.1,459.45
Denmark,1,1,1,2,2,70.82,18.1,1.1,82.5,458.98
Germany,1,1,1,2,2,87.78,37.75,4,77.2,456.02
Poland,1,1,1,2,2,88.7,39.65,2.2,60.9,454.39
Estonia,1,1,1,2,2,63.63,20.22,1,65.3,453.8
Finland,1,1,1,2,2,76.69,15.02,0.6,78.9,453.5
New Zealand,1,1,1,1,2,100.89,32.55,7.9,71.3,452.47
France,1,1,1,2,2,83.04,25.79,3.6,80,450.11
Ireland,1,1,1,2,2,19.06,14.44,6.5,72.8,449.97
Latvia,1,1,1,2,2,68.72,18.17,1.1,61.6,447.23
Hungary,1,1,1,2,2,79.72,22.6,2.2,63.7,443.96
Spain,1,1,1,2,2,100.25,28.07,3.6,74.3,441.82
Lithuania,1,1,1,2,2,81.27,17.02,1.4,62.9,440.75
Norway,2,1,1,0,1,67.46,17.11,0.8,77.7,432.66
Italy,1,1,1,2,2,80.95,21.54,6.1,71,432.03
Portugal,1,1,1,2,2,94.06,22.9,5.4,67,428.25
Cyprus,1,1,1,2,2,72.82,18.65,8.2,64.8,420.86
Malta,1,1,1,2,2,82.05,30.29,12,70.7,416.96
Romania,1,1,1,2,2,63.91,24.46,0.8,64.7,408
Tanzania,2,1,1,1,0,9.22,38.15,0.00006,31.1,400.37
Chile,1,1,1,1,0,83.16,18.49,5.7,55.3,395.33
Brazil,1,1,1,1,0,99.83,29.42,6,51.2,395.08
Mexico,2,1,1,0,2,64.87,14.5,1.8,52.6,362.26
Canada,2,1,1,1,0,82.62,9.69,2.4,71,359.53
Japan,0,1,1,0,1,49.33,29.39,11.8,75.1,357.74
Indonesia,2,1,1,2,0,11.7,12.17,0.03113,37.8,354.32
India,0,1,1,2,2,3.78,5.97,0.3,27.6,344.57
Peru,0,1,1,1,0,24.41,21.31,1.8,44,329.64
Israel,0,1,1,0,1,97.01,19.95,12.6,65.8,321.13
United States,2,1,1,2,0,124.1,12.99,2.5,69.3,319.45
Venezuela,0,1,1,0,0,40.94,54.14,1.2,50.3,309.41
Australia,2,1,1,0,0,121.6,19.27,2,74.9,306.56
Thailand,0,1,1,2,0,27.37,18.81,1.7,45.4,302.37
Turkey,2,1,1,0,0,38.87,0.22,2.3,42.6,301.58
Zambia,0,1,1,0,0,13.12,37.87,0.1,34.7,300.34
Malaysia,0,1,1,1,0,52.89,19.12,8.1,47.9,294.46
Zimbabwe,0,1,1,0,0,17.67,27.21,0.5,37,288.53
Kenya,0,1,1,0,0,15.94,12.36,0.2,34.7,275.26
Ukraine,0,1,1,0,0,46.92,3.99,2.3,49.5,256
Saudi Arabia,0,1,1,0,0,54.12,4.76,1.5,44,253.53
South Africa,2,2,1,0,0,60.02,8,2.2,43.1,250.93
Myanmar,0,1,1,0,0,58.24,6.37,1.4,25.1,242.29
Uruguay,0,1,1,0,0,57.69,3.45,5.4,49.1,239.09
Colombia,0,1,1,0,0,55.9,14.81,9.9,52.9,235.43
Morocco,0,1,2,0,0,35.12,30.78,1.5,42.3,234.19
Niger,0,2,1,0,0,12.75,17.32,0.0012,30.8,229.52
Argentina,0,1,1,0,0,109.38,8.81,4.9,52.2,227
Egypt,0,1,2,0,0,26.29,13.14,2.2,43.3,219.39
Russia,0,0,1,0,2,76.61,9.73,0.2,50.5,207.96
Ethiopia,0,0,1,0,0,27.6,18.47,0.2,34.4,176.02
Mali,0,0,1,0,0,23.68,8.23,0.00057,29.4,165.88
Algeria,0,0,2,0,0,18.06,7.5,0.7,44.8,124.13
Belarus,0,0,0,0,2,81.46,9.35,0.6,53,105.65
Azerbaijan,0,0,0,0,0,34.08,10.16,0.2,46.5,73.07
Iran,0,0,0,0,0,35.98,8.61,0.3,48,71.4
Vietnam,0,0,0,0,0,63.33,7.58,1.7,33.4,45.24
China,0,0,0,0,0,60.59,15.45,13.1,37.3,12.46
